id,title,authors,year,category,methods,application,source,doi,url,filename,text_extractable,notes
paper_001,"A Survey on Deep Learning in Medical Image Analysis","Geert Litjens; Thijs Kooi; Babak Ehteshami Bejnordi; Arnaud Arindra Adiyoso Setio; Francesco Ciompi; Mohsen Ghafoorian; Jeroen A.W.M. van der Laak; Bram van Ginneken; Clara I. Sanchez",2017,"Medical imaging + AI","CNN survey: classification, detection, segmentation, registration","General medical image analysis","arXiv / Medical Image Analysis journal","10.1016/j.media.2017.07.005","https://arxiv.org/pdf/1702.05747","paper_001.pdf","Yes","Foundational survey; two-column layout, many figures and references"
paper_002,"An Overview of Deep Learning in Medical Imaging","Imran Ul Haq",2022,"Medical imaging + AI","CNN/DL overview: classification, detection, segmentation, registration","Medical imaging (general)","arXiv","Not verified","https://arxiv.org/pdf/2202.08546","paper_002.pdf","Probably","Contains dataset/competition reference tables that may need care during extraction"
paper_003,"Self-supervised learning for medical image classification: a systematic review and implementation guidelines","Shih-Cheng Huang; Anuj Pareek; Malte Jensen; Matthew P. Lungren; Serena Yeung; Akshay S. Chaudhari",2023,"Medical imaging + AI","Self-supervised learning (contrastive, generative strategies)","Medical image classification","npj Digital Medicine (PMC)","10.1038/s41746-023-00811-0","https://pmc.ncbi.nlm.nih.gov/articles/PMC10131505/","paper_003.pdf","Yes","Clean PMC HTML/PDF, systematic review of 79 papers"
paper_004,"A Review Paper about Deep Learning for Medical Image Analysis","Bagher Sistaninejhad; Habib Rasi; Parisa Nayeri",2023,"Medical imaging + AI","CNN, pretrained models, GANs","COVID-19 detection, child bone age prediction","Computational and Mathematical Methods in Medicine (PMC)","10.1155/2023/7091301","https://pmc.ncbi.nlm.nih.gov/articles/PMC10241570/","paper_004.pdf","Yes","Includes performance-metric tables"
paper_005,"Ensemble Learning for Disease Prediction: A Review","Palak Mahajan; Shahadat Uddin; Farshid Hajati; Mohammad Ali Moni",2023,"ML/DL diagnosis and prediction","Bagging, boosting, stacking, voting ensembles","Diabetes, skin disease, kidney disease, liver disease, heart disease prediction","Healthcare (MDPI) via PMC","10.3390/healthcare11121808","https://pmc.ncbi.nlm.nih.gov/articles/PMC10298658/pdf/healthcare-11-01808.pdf","paper_005.pdf","Yes","Contains 8 large summary tables; full text verified during collection"
paper_006,"A Catalogue of Machine Learning Algorithms for Healthcare Risk Predictions","Argyro Mavrogiorgou; Athanasios Kiourtis; Spyridon Kleftakis; Konstantinos Mavrogiorgos; Nikolaos Zafeiropoulos; Dimosthenis Kyriazis",2022,"ML/DL diagnosis and prediction","Naive Bayes, KNN, Decision Tree, Logistic Regression, Random Forest, Neural Networks, SGD","Stroke, COVID-19, diabetes, breast cancer, kidney disease, heart failure","Sensors (MDPI) via PMC","10.3390/s22228615","https://pmc.ncbi.nlm.nih.gov/articles/PMC9695983/","paper_006.pdf","Yes",""
paper_007,"Prediction of Parkinson's Disease Using Machine Learning Methods","Jiayu Zhang; Wenchao Zhou; Hongmei Yu; Tong Wang; Xiaqiong Wang; Long Liu; Yalu Wen",2023,"ML/DL diagnosis and prediction","8 ML models incl. penalized logistic regression, XGBoost; SHAP explanations","Parkinson's disease early risk prediction","Biomolecules (MDPI) via PMC","10.3390/biom13121761","https://pmc.ncbi.nlm.nih.gov/articles/PMC10741603/","paper_007.pdf","Yes",""
paper_008,"Personalized prediction for multiple chronic diseases by developing the multi-task Cox learning model","Shuaijie Zhang; Fan Yang; Lijie Wang; Shucheng Si; Jianmei Zhang; Fuzhong Xue",2023,"ML/DL diagnosis and prediction","Multi-task learning Cox (MTL-Cox) model","Personalized risk prediction for 9 chronic diseases (UK Biobank)","PLOS Computational Biology (PMC)","10.1371/journal.pcbi.1011396","https://pmc.ncbi.nlm.nih.gov/articles/PMC10569718/","paper_008.pdf","Yes",""
paper_009,"A comprehensive review of machine learning for heart disease prediction: challenges, trends, ethical considerations, and future directions","Raman Kumar; Sarvesh Garg; Rupinder Kaur; M. G. M. Johar; Sehijpal Singh; Soumya V. Menon; Pulkit Kumar; Ali Mohammed Hadi; Shams Abbass Hasson; Jasmina Lozanovic",2025,"ML/DL diagnosis and prediction","CNN-LSTM hybrid deep learning, federated learning, explainable AI","Cardiovascular disease prediction","Frontiers in Artificial Intelligence (PMC)","10.3389/frai.2025.1583459","https://pmc.ncbi.nlm.nih.gov/articles/PMC12106346/","paper_009.pdf","Yes","Very recent publication (May 2025)"
paper_010,"Deep Representation Learning of Patient Data from Electronic Health Records (EHR): A Systematic Review","Yuqi Si; Jingcheng Du; Zhao Li; Xiaoqian Jiang; Timothy Miller; Fei Wang; W. Jim Zheng; Kirk Roberts",2020,"Deep learning in healthcare (EHR)","RNN (LSTM, GRU) patient representation learning","Patient representation learning, disease prediction","Journal of Biomedical Informatics (PMC) / arXiv","10.1016/j.jbi.2020.103671","https://pmc.ncbi.nlm.nih.gov/articles/PMC11290708/","paper_010.pdf","Yes","Also available as arXiv:2010.02809"
paper_011,"Predicting disease onset from electronic health records for population health management: a scalable and explainable Deep Learning approach","Robert Grout; Rishab Gupta; Ruby Bryant; Mawada A. Elmahgoub; Yijie Li; Khushbakht Irfanullah; Rahul F. Patel; Jake Fawkes; Catherine Inness",2024,"Deep learning in healthcare (EHR)","Word2Vec embeddings, Bidirectional GRU","Type 2 diabetes, COPD, hypertension, acute MI prediction","Frontiers in Artificial Intelligence (PMC)","10.3389/frai.2023.1287541","https://pmc.ncbi.nlm.nih.gov/articles/PMC10800619/","paper_011.pdf","Yes","Trained on ~50 million patient longitudinal records"
paper_012,"Deep representation learning of electronic health records to unlock patient stratification at scale","Isotta Landi; Benjamin S. Glicksberg; Hao-Chih Lee; Sarah Cherng; Giulia Landi; Matteo Danieletto; Joel T. Dudley; Cesare Furlanello; Riccardo Miotto",2020,"Deep learning in healthcare (EHR)","ConvAE: word embeddings + CNN + autoencoder","Patient stratification for type 2 diabetes, Parkinson's, Alzheimer's","npj Digital Medicine (PMC) / arXiv","10.1038/s41746-020-0301-z","https://pmc.ncbi.nlm.nih.gov/articles/PMC7367859/","paper_012.pdf","Yes","Also available as arXiv:2003.06516"
paper_013,"The application of unsupervised deep learning in predictive models using electronic health records","Lei Wang; Liping Tong; Darcy Davis; Tim Arnold; Tina Esposito",2020,"Deep learning in healthcare (EHR)","Autoencoder features vs. LASSO and Random Forest","30-day hospital readmission prediction","BMC Medical Research Methodology (PMC)","10.1186/s12874-020-00923-1","https://pmc.ncbi.nlm.nih.gov/articles/PMC7043035/","paper_013.pdf","Yes",""
paper_014,"A Comprehensive Review of Deep Learning Applications with Multi-Omics Data in Cancer Research","Flavio Sartori; Francesco Codice; Isabella Caranzano; Cesare Rollo; Giovanni Birolo; Piero Fariselli; Corrado Pancotti",2025,"Bioinformatics / multi-omics","Deep learning for cancer type classification, driver gene ID, survival analysis, drug response prediction","Cancer genomics","Genes (MDPI) via PMC","10.3390/genes16060648","https://pmc.ncbi.nlm.nih.gov/articles/PMC12191839/","paper_014.pdf","Yes",""
paper_015,"A review of multi-omics data integration through deep learning approaches for disease diagnosis, prognosis, and treatment","Jael Sanyanda Wekesa; Michael Kimwele",2023,"Bioinformatics / multi-omics","CNN, feed-forward networks, RNN","Disease diagnosis, prognosis, and treatment","Frontiers in Genetics (PMC)","10.3389/fgene.2023.1199087","https://pmc.ncbi.nlm.nih.gov/articles/PMC10398577/","paper_015.pdf","Yes",""
paper_016,"A technical review of multi-omics data integration methods: from classical statistical to deep generative approaches","Ana R. Baiao; Zhaoxiang Cai; Rebecca C. Poulos; Phillip J. Robinson; Roger R. Reddel; Qing Zhong; Susana Vinga; Emanuel Goncalves",2025,"Bioinformatics / multi-omics","Variational autoencoders, graph neural networks, deep generative models","Multi-omics integration for precision medicine","Briefings in Bioinformatics (PMC) / arXiv","10.1093/bib/bbaf355","https://pmc.ncbi.nlm.nih.gov/articles/PMC12315550/","paper_016.pdf","Yes","Also available as arXiv:2501.17729"
paper_017,"CustOmics: A versatile deep-learning based strategy for multi-omics integration","Hakim Benkirane; Yoann Pradat; Stefan Michiels; Paul-Henry Cournede",2023,"Bioinformatics / multi-omics","Customizable two-phase autoencoder; SHAP explainability","Tumor type classification, breast cancer subtype classification","PLOS Computational Biology (PMC)","10.1371/journal.pcbi.1010921","https://pmc.ncbi.nlm.nih.gov/articles/PMC10019780/","paper_017.pdf","Yes","Code available: github.com/HakimBenkirane/CustOmics"
paper_018,"Explainable Deep Learning Methods in Medical Image Classification: A Survey","Cristiano Patricio; Joao C. Neves; Luis F. Teixeira",2023,"Explainable AI (XAI) in healthcare","Survey of XAI techniques (CAM-family, attention-based) applied to CNN classifiers","Medical image classification interpretability","arXiv (submitted to ACM Computing Surveys)","Not verified","https://arxiv.org/pdf/2205.04766","paper_018.pdf","Yes","Latest version (v3) posted Sept 2023"
paper_019,"Explainable AI in Clinical Decision Support Systems: A Meta-Analysis of Methods, Applications, and Usability Challenges","Qaiser Abbas; Woonyoung Jeong; Seung Won Lee",2025,"Explainable AI (XAI) / clinical decision support","Meta-analysis of SHAP, Grad-CAM, LIME across 62 studies","CDSS in radiology, oncology, neurology, critical care","Healthcare (MDPI) via PMC","10.3390/healthcare13172154","https://pmc.ncbi.nlm.nih.gov/articles/PMC12427955/","paper_019.pdf","Yes",""
paper_020,"Explainable AI for Clinical Outcome Prediction: A Survey of Clinician Perceptions and Preferences","Jun Hou; Lucy Lu Wang",2025,"Explainable AI (XAI) in healthcare","LIME, attention-based highlights, exemplar retrieval, LLM free-text rationales","ICU in-hospital mortality prediction from admission notes","arXiv (AMIA submission)","Not verified","https://arxiv.org/pdf/2502.20478","paper_020.pdf","Yes","Includes a 32-clinician survey study"
paper_021,"To explain or not to explain?-Artificial intelligence explainability in clinical decision support systems","Julia Amann; Dennis Vetter; Stig Nikolaj Blomberg; Helle Collatz Christensen; Megan Coffee; Sara Gerke; Thomas K. Gilbert; Thilo Hagendorff; Sune Holm; Michelle Livne; Andy Spezzatti; Inga Strumke; Roberto V. Zicari; Vince Istvan Madai; Henry Horng-Shing Lu",2022,"Clinical decision support","Normative analysis using socio-technical scenarios","AI-powered CDSS for identifying cardiac arrest in emergency calls","PLOS Digital Health (PMC)","10.1371/journal.pdig.0000016","https://pmc.ncbi.nlm.nih.gov/articles/PMC9931364/","paper_021.pdf","Yes","Ethics-focused multidisciplinary analysis"
paper_022,"Examining explainable clinical decision support systems with think aloud protocols","Sabrina G. Anjara; Adrianna Janik; Amy Dunford-Stenger; Kenneth Mc Kenzie; Ana Collazo-Lorduy; Maria Torrente; Luca Costabello; Mariano Provencio",2023,"Clinical decision support","Think Aloud Protocol (TAP), thematic analysis","Lung cancer relapse prediction system (oncology)","PLOS ONE (PMC)","10.1371/journal.pone.0291443","https://pmc.ncbi.nlm.nih.gov/articles/PMC10501571/","paper_022.pdf","Yes","Study with 10 practicing oncologists"
paper_023,"Foundation Models for Biomedical Image Segmentation: A Survey","Ho Hin Lee; Yu Gu; Theodore Zhao; Yanbo Xu; Jianwei Yang; Naoto Usuyama; Cliff Wong; Mu Wei; Bennett A. Landman; Yuankai Huo; Alberto Santamaria-Pang; Hoifung Poon",2024,"Medical image segmentation / detection","Segment Anything Model (SAM) adaptations, prompt/domain tuning","Biomedical image segmentation (general)","arXiv","Not verified","https://arxiv.org/pdf/2401.07654","paper_023.pdf","Yes","12 co-authors incl. Microsoft Health Futures researchers"
